p,Points:1,T,U:0,U:1,U:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
1.00E+05,0,500,0.10369,0,0,1,0,0.9,0,0.05
1.00E+05,0.01,500,0.10369,-2.26E-05,0,1,0.01,0.9,0.01,0.05
1.00E+05,0.02,500,0.1037,-4.53E-05,0,1,0.02,0.9,0.02,0.05
1.00E+05,0.03,500,0.10371,-6.79E-05,0,1,0.03,0.9,0.03,0.05
1.00E+05,0.04,500,0.10372,-9.06E-05,0,1,0.04,0.9,0.04,0.05
1.00E+05,0.05,500,0.10374,-0.00011326,0,1,0.05,0.9,0.05,0.05
1.00E+05,0.06,500,0.10377,-0.00013599,0,1,0.06,0.9,0.06,0.05
1.00E+05,0.07,500,0.10379,-0.00015877,0,1,0.07,0.9,0.07,0.05
1.00E+05,0.08,500,0.10383,-0.00018159,0,1,0.08,0.9,0.08,0.05
1.00E+05,0.09,500,0.10386,-0.00020449,0,1,0.09,0.9,0.09,0.05
1.00E+05,0.1,500,0.10391,-0.00022745,0,1,0.1,0.9,0.1,0.05
1.00E+05,0.11,500,0.10395,-0.0002505,0,1,0.11,0.9,0.11,0.05
1.00E+05,0.12,500,0.10401,-0.00027366,0,1,0.12,0.9,0.12,0.05
1.00E+05,0.13,500,0.10407,-0.00029693,0,1,0.13,0.9,0.13,0.05
1.00E+05,0.14,500,0.10413,-0.00032033,0,1,0.14,0.9,0.14,0.05
1.00E+05,0.15,500,0.1042,-0.00034389,0,1,0.15,0.9,0.15,0.05
1.00E+05,0.16,500,0.10428,-0.00036763,0,1,0.16,0.9,0.16,0.05
1.00E+05,0.17,500,0.10437,-0.00039158,0,1,0.17,0.9,0.17,0.05
1.00E+05,0.18,500,0.10446,-0.00041576,0,1,0.18,0.9,0.18,0.05
1.00E+05,0.19,500,0.10456,-0.00044022,0,1,0.19,0.9,0.19,0.05
1.00E+05,0.2,500,0.10467,-0.00046499,0,1,0.2,0.9,0.2,0.05
1.00E+05,0.21,500,0.10479,-0.00049013,0,1,0.21,0.9,0.21,0.05
1.00E+05,0.22,500,0.10492,-0.00051569,0,1,0.22,0.9,0.22,0.05
1.00E+05,0.23,500,0.10507,-0.00054174,0,1,0.23,0.9,0.23,0.05
1.00E+05,0.24,500,0.10523,-0.00056837,0,1,0.24,0.9,0.24,0.05
1.00E+05,0.25,500,0.1054,-0.00059566,0,1,0.25,0.9,0.25,0.05
